Time,TIEV,TIEV_YOY,TEV,TEV_YOY,TIV,TIV_YOY,TEV-TIV
2022年12月,534144900,-8.9,306078800,-9.9,228066200,-7.5,78012600
2022年11月,521753372,-9.5,295500770,-8.7,226252602,-10.6,69248168
2022年10月,511589648,-0.4,298371747,-0.3,213217901,-0.7,85153846
2022年9月,560767084,3.4,322755333,5.7,238011751,0.3,84740000
2022年8月,550447670,4.1,314920505,7.1,235527165,0.3,79390000
2022年7月,564661249,11,332964256,18,231696993,2.3,101270000
2022年6月,564587051,10.3,331264197,17.9,233322854,1,97940000
2022年5月,537735611,11.1,308244886,16.9,229490725,4.1,78750000
2022年4月,496120251,2.1,273619664,3.9,222500588,0,51120000
2022年3月,504788873,7.5,276084613,14.7,228704260,-0.1,47380000
2022年2月,404249368,8.1,217416504,6.2,186832863,10.4,30584000
2022年1月,569200293,22.2,327285953,24.1,241914340,19.8,85372000
2021年12月,586534153,20.3,340498780,20.9,246035373,19.5,94460000
2021年11月,579339168,26.1,325525287,22,253813881,31.7,71710000
2021年10月,515903015,24.3,300221418,27.1,215681597,20.6,84540000
2021年9月,544716847,23.3,305737341,28.1,238979506,17.6,66760000
2021年8月,530299727,28.8,294315479,25.6,235984248,33.1,58330000
2021年7月,508735832,23.1,282662343,19.3,226073489,28.1,56590000
2021年6月,511307785,34.2,281417178,32.2,229890607,36.7,51526570
2021年5月,482305116,37.4,263922347,27.9,218382769,51.1,45539578
2021年4月,484987380,37,263923793,32.3,221063587,43.1,42860206
2021年3月,468470355,34.2,241134158,30.6,227336197,38.1,13797961
2021年2月,371830507,67,204855176,154.9,166975331,17.3,37879844
2021年1月,462659051,25.6,264018839,24.8,198640212,26.6,65378627
2020年12月,485681681,12.9,281927726,18.1,203753955,6.5,78173772
2020年11月,460747151,13.6,268074093,21.1,192673058,4.5,75401035
2020年10月,415921986,8.4,237182561,11.4,178739425,4.7,58443137
2020年9月,442516723,11.4,239757675,9.9,202759047,13.2,36999000
2020年8月,411592986,4.2,235259186,9.5,176333799,-2.1,58925000
2020年7月,412933153,3.4,237631279,7.2,175301874,-1.4,62329000
2020年6月,380727151,1.5,213574174,0.5,167152978,2.7,46421000
2020年5月,350699571,-9.3,206812825,-3.3,143886746,-16.7,62926000
2020年4月,355134209,-5.1,200233629,3.5,154900580,-14.2,45333000
2020年3月,350359336,-4,185146228,-6.6,165213108,-1,19933000
