"","name","area_m2","grith_m","num_facilities","evaluation","X5_min_usage","level"
"1","扬州路苏州路交界口袋公园",1491,176,8,"好",17,"2"
"2","云南路西桥交界口袋公园",646,85,4,"一般",33,"3"
"3","马台街虹桥交界口袋公园",890,102,7,"好",40,"2"
"5","盐仓桥广场西南口袋公园",671,82,2,"一般",35,"3"
"7","颐和路牯岭路东交界口袋公园",450,85,8,"一般",44,"3"
"8","古平岗虎踞北路交界口袋公园",1148,108,5,"一般",19,"3"
"9","三牌楼大街福建路交界口袋公园",741,84,2,"好",69,"2"
"10","郭家山广场",5465,478,2,"一般",67,"3"
"11","幕府南路广场",6674,508,1,"很好",38,"1"
"12","幕旭西路西南侧口袋公园",2452,200,7,"一般",56,"3"
"14","雨润大街与黄山路交界口袋公园",6702,507,1,"很好",45,"1"
"15","陶李王巷游园",2387,186,10,"很好",32,"1"
"16","石城桥北广场",2987,207,0,"好",67,"2"
"17","凤凰街游园",3193,434,6,"一般",65,"3"
"18","水西门北园",2300,185,12,"好",57,"2"
"19","仙鹤桥广场",397,40,2,"很好",12,"1"
"20","鸿达新寓东北游园",3151,200,11,"很好",11,"1"
"21","五贵里小游园",1885,98,11,"好",63,"2"
"22","普德公园",4344,398,12,"一般",33,"3"
"23","东风河游园",1148,111,3,"好",25,"2"
"24","三条巷文昌宫游园",1154,82,0,"好",12,"2"
"26","东水关滨河小游园",2807,258,4,"好",62,"2"
"27","解放南路明御河路游园",1588,181,11,"好",37,"2"
"28","大油坊巷游园",3193,332,6,"很好",29,"1"
"29","白马山庄北侧游园",5154,459,2,"很好",67,"1"
"30","岗子村地铁站游园",4823,404,0,"好",54,"2"
