ID,N_type,Gender,Age,Stay,H_type,Education,Employ,F_income
1,4,1,35,8,1,3,1,3
7,3,2,68,68,1,1,3,1
8,3,1,39,39,1,3,1,5
9,3,1,22,22,1,3,2,5
10,3,2,47,47,1,3,1,4
11,3,1,57,57,1,2,3,5
12,4,1,30,10,1,3,1,5
13,4,1,27,9,2,3,1,4
14,4,2,27,1,1,3,1,3
23,4,2,52,30,1,3,1,4
24,4,2,40,17,1,4,1,5
25,4,2,29,5,2,3,1,4
26,4,1,41,19,1,4,1,4
27,4,2,32,10,2,3,1,4
28,4,1,72,40,2,1,3,3
29,4,2,35,10,2,3,1,4
30,4,2,48,30,1,3,1,4
31,4,2,42,20,1,4,1,5
32,4,2,39,15,2,3,1,4
33,4,1,30,8,2,3,1,3
34,4,2,57,5,1,1,2,4
35,4,1,32,6,1,4,1,6
36,4,1,24,5,2,3,2,2
37,4,1,35,15,1,3,1,5
38,4,1,27,5,1,2,1,4
39,4,2,34,11,1,3,2,3
40,4,1,24,2,2,3,1,2
41,4,1,58,36,1,3,1,2
42,4,2,56,5,1,1,2,2
43,4,2,31,10,1,2,1,2
44,4,2,37,17,1,3,2,3
45,4,2,70,70,1,1,3,4
46,3,1,28,1,2,4,1,3
47,3,1,28,5,1,4,1,4
48,3,2,28,2,2,4,1,2
49,3,1,38,11,2,4,1,6
50,3,1,75,2,1,3,3,5
51,3,1,41,18,1,3,1,6
54,3,1,38,12,1,4,1,6
55,3,2,33,33,2,3,1,5
56,3,2,36,6,1,4,2,5
57,3,1,27,3,2,4,1,3
58,1,2,67,67,1,1,3,1
59,1,1,69,69,1,3,3,2
60,1,2,70,70,1,2,3,3
61,1,1,49,2,1,3,1,3
62,1,1,71,71,2,2,3,2
63,1,2,26,6,2,3,2,6
64,3,2,31,8,1,3,1,5
65,3,2,30,6,2,4,1,2
67,3,1,29,10,2,4,1,6
68,3,1,28,4,2,4,1,4
69,3,1,28,10,1,3,1,6
70,3,1,68,3,1,3,3,4
71,3,2,25,7,2,4,1,3
72,3,2,62,62,1,1,3,3
73,3,1,30,2,2,4,1,5
74,3,2,26,1.5,2,3,1,4
75,3,1,38,12,1,4,1,4
76,4,2,30,30,1,3,1,4
77,4,2,33,5,1,3,1,5
78,4,1,37,19,1,4,1,6
80,4,2,53,30,1,2,3,5
81,4,1,55,30,1,3,1,3
82,4,1,44,15,1,4,1,6
83,4,2,61,6,1,1,2,5
84,4,2,37,11,1,3,1,5
85,4,2,65,6,1,1,2,3
86,4,2,23,23,1,3,1,4
87,4,1,36,11,1,3,1,4
88,1,2,48,30,2,3,2,2
89,1,1,22,2,2,3,1,4
90,1,2,36,36,1,3,1,3
91,1,1,55,25,2,1,1,2
92,1,1,23,1,2,3,1,3
93,1,2,53,4,1,2,1,2
95,4,1,26,7,2,3,1,4
97,4,2,35,17,2,4,1,4
98,3,2,68,68,1,1,3,1
99,3,1,68,68,1,2,3,1
100,4,2,26,26,1,3,1,4
101,4,2,40,14,1,3,1,4
102,4,2,37,15,1,3,1,6
103,4,2,30,10,1,3,1,6
104,3,2,62,62,1,1,3,4
105,3,2,27,27,1,3,1,3
106,2,2,50,2,2,1,2,1
107,2,2,27,13,2,2,2,5
108,2,2,48,10,2,1,3,4
109,2,2,35,10,2,2,1,2
110,4,2,49,49,1,3,1,3
111,4,2,28,28,1,3,1,3
112,4,1,26,26,1,3,1,3
113,4,1,68,1,1,3,3,6
114,4,2,74,65,1,2,3,6
116,4,2,40,40,1,4,1,6
117,4,1,19,1,2,3,2,3
118,4,2,32,3,2,4,1,4
119,4,1,71,11,1,3,3,3
120,3,1,26,2,2,4,1,5
121,3,2,54,3,2,3,1,1
122,3,1,29,5,2,4,1,6
123,3,1,36,unknown,1,3,1,6
124,3,1,23,2,2,3,1,2
125,3,1,73,8,1,1,3,5
126,3,1,27,3,2,4,1,3
