ID,N_type,Gender,Age,Stay,N_year,H_type,Education,Employ,H_price
1,4,1,35,18,12,1,3,1,220
7,3,2,68,25,10,1,1,3,150
8,3,1,39,17,10,1,3,1,520
9,3,1,22,10,6,1,3,2,460
10,3,2,47,21,12,1,3,1,360
11,3,1,57,57,3,1,2,3,460
12,4,1,30,15,10,1,3,1,410
13,4,1,27,14,9,2,3,1,320
14,4,2,27,13,8,1,3,1,270
23,4,2,52,19,8,1,3,1,330
24,4,2,40,15,6,1,4,1,430
25,4,2,29,18,14,2,3,1,320
26,4,1,41,41,17,1,4,1,410
27,4,2,32,14,8,2,3,1,310
28,4,1,72,24,8,2,1,3,230
29,4,2,35,14,7,2,3,1,320
30,4,2,48,19,9,1,3,1,330
31,4,2,42,15,6,1,4,1,400
32,4,2,39,13,13,2,3,1,290
33,4,1,30,15,10,2,3,1,220
34,4,2,57,17,3,1,1,2,300
35,4,1,32,14,8,1,4,1,770
36,4,1,24,14,10,2,3,2,170
37,4,1,35,18,12,1,3,1,510
38,4,1,27,15,11,1,2,1,280
39,4,2,34,15,9,1,3,2,220
40,4,1,24,14,11,2,3,1,200
41,4,1,58,58,6,1,3,1,170
42,4,2,56,22,11,1,1,2,210
43,4,2,31,18,13,1,2,1,170
44,4,2,37,15,7,1,3,2,270
45,4,2,70,27,12,1,1,3,330
46,3,1,28,19,16,2,4,1,230
47,3,1,28,17,13,1,4,1,380
48,3,2,28,13,8,2,4,1,210
49,3,1,38,16,8,2,4,1,560
50,3,1,75,25,8,1,3,3,440
51,3,1,41,15,6,1,3,1,530
54,3,1,38,19,12,1,4,1,770
55,3,2,33,15,9,2,3,1,410
56,3,2,36,19,13,1,4,2,510
57,3,1,27,27,11,2,4,1,280
58,1,2,67,27,13,1,1,3,90
59,1,1,69,26,11,1,3,3,210
60,1,2,70,26,11,1,2,3,260
61,1,1,49,25,17,1,3,1,260
62,1,1,71,28,14,2,2,3,190
63,1,2,26,16,13,2,3,2,900
64,3,2,31,14,8,1,3,1,490
65,3,2,30,14,8,2,4,1,210
67,3,1,29,16,12,2,4,1,910
68,3,1,28,18,14,2,4,1,280
69,3,1,28,15,10,1,3,1,540
70,3,1,68,25,10,1,3,3,330
71,3,2,25,14,10,2,4,1,240
72,3,2,62,24,11,1,1,3,240
73,3,1,30,16,11,2,4,1,430
74,3,2,26,26,7,2,3,1,390
75,3,1,38,16,9,1,4,1,270
76,4,2,30,17,12,1,3,1,380
77,4,2,33,19,14,1,3,1,490
78,4,1,37,18,11,1,4,1,710
80,4,2,53,22,12,1,2,3,440
81,4,1,55,22,11,1,3,1,240
82,4,1,44,20,12,1,4,1,540
83,4,2,61,25,13,1,1,2,440
84,4,2,37,18,12,1,3,1,380
85,4,2,65,22,7,1,1,2,270
86,4,2,23,12,8,1,3,1,360
87,4,1,36,17,11,1,3,1,310
88,1,2,48,26,18,2,3,2,180
89,1,1,22,17,15,2,3,1,280
90,1,2,36,19,13,1,3,1,240
91,1,1,55,24,13,2,1,1,170
92,1,1,23,17,15,2,3,1,270
93,1,2,53,25,15,1,2,1,230
95,4,1,26,13,8,2,3,1,380
97,4,2,35,12,4,2,4,1,300
98,3,2,68,22,7,1,1,3,150
99,3,1,68,25,10,1,2,3,150
100,4,2,26,26,15,1,3,1,360
101,4,2,40,17,9,1,3,1,360
102,4,2,37,14,6,1,3,1,710
103,4,2,30,14,8,1,3,1,620
104,3,2,62,24,11,1,1,3,340
105,3,2,27,14,9,1,3,1,240
106,2,2,50,16,5,2,1,2,150
107,2,2,27,13,8,2,2,2,510
108,2,2,48,14,2,2,1,3,280
109,2,2,35,13,5,2,2,1,230
110,4,2,49,27,19,1,3,1,230
111,4,2,28,15,11,1,3,1,230
112,4,1,26,16,13,1,3,1,250
113,4,1,68,22,6,1,3,3,740
114,4,2,74,28,12,1,2,3,540
116,4,2,40,18,11,1,4,1,670
117,4,1,19,12,10,2,3,2,280
118,4,2,32,22,18,2,4,1,310
119,4,1,71,27,12,1,3,3,290
120,3,1,26,15,11,2,4,1,460
121,3,2,54,18,6,2,3,1,130
122,3,1,29,15,10,2,4,1,600
123,3,1,36,unknown,9,1,3,1,970
124,3,1,23,10,5,2,3,1,210
125,3,1,73,27,11,1,1,3,430
126,3,1,27,14,9,2,4,1,250
127,3,2,25,14,10,2,3,1,170
128,3,1,75,26,10,1,2,3,580
129,3,1,70,26,11,1,1,2,400
130,3,1,36,14,6,1,3,1,670
131,3,1,26,12,7,2,4,1,310
132,2,2,72,27,12,1,1,2,130
133,2,1,89,28,7,1,1,3,150
134,2,1,46,46,6,1,2,2,130
135,2,1,50,20,10,1,3,1,360
136,2,1,32,13,7,2,1,1,310
137,2,2,31,12,5,1,3,1,220
142,4,2,63,21,7,2,2,2,600
143,4,1,78,9,9,1,1,3,260
144,4,1,61,19,5,1,3,1,290
145,3,1,18,11,9,2,2,2,480
146,3,1,80,26,8,1,1,3,130
147,3,2,83,unknown,8,1,1,3,230
148,3,1,82,30,12,1,1,3,150
149,3,1,72,23,7,1,1,3,140
150,3,1,74,28,12,1,1,3,90
151,3,1,22,12,9,2,3,1,90
152,3,2,28,18,14,2,3,1,310
153,3,1,62,25,12,1,1,3,210
154,3,1,45,19,10,1,3,1,190
155,3,1,34,15,9,2,3,1,190
156,3,2,51,20,10,1,1,2,180
157,3,1,41,41,11,1,3,1,480
158,3,2,26,11,6,2,3,1,340
159,3,2,54,21,10,2,2,1,140
160,3,1,50,24,15,1,1,3,100
169,3,1,63,21,7,1,3,3,370
170,3,1,30,15,10,2,3,1,310
171,3,1,35,19,13,2,3,1,290
172,3,1,29,13,8,2,4,1,270
174,3,2,51,22,12,2,2,3,260
175,3,2,65,22,8,1,1,3,190
176,3,1,63,23,10,1,3,3,670
177,3,1,39,13,4,1,4,1,430
184,2,1,70,70,11,1,1,3,140
185,2,1,70,28,14,1,1,3,260
186,2,1,26,12,7,2,3,1,260
187,2,1,66,23,8,1,1,3,140
188,2,2,67,22,7,2,1,3,150
190,2,1,62,22,8,1,3,3,220
191,2,2,26,11,6,1,3,1,180
192,2,1,45,17,8,2,2,1,680
193,2,2,34,15,9,1,2,1,190
201,4,2,57,26,15,1,3,3,410
202,4,1,34,14,7,1,4,1,230
203,4,2,62,62,8,1,2,3,180
204,4,1,39,17,10,1,4,1,540
205,4,2,71,28,14,1,1,2,180
206,4,2,68,21,5,1,1,3,220
208,4,1,23,13,10,2,3,1,180
210,4,2,38,18,11,1,4,1,330
211,4,2,71,13,13,1,3,3,170
213,4,1,27,15,11,2,3,1,170
214,4,2,56,25,14,1,2,3,330
217,4,2,54,20,8,1,3,1,430
218,4,1,60,unknown,7,1,2,3,290
219,4,1,40,21,14,1,3,1,330
220,4,1,33,16,10,1,3,1,700
221,4,2,66,21,6,1,1,2,420
222,4,2,30,17,13,1,3,1,380
223,4,1,60,unknown,2,1,3,3,370
224,4,1,24,13,9,4,4,2,390
225,4,1,40,21,14,1,3,1,470
226,4,1,37,37,17,1,3,1,380
227,4,1,42,19,11,1,3,1,270
228,4,1,66,27,14,1,1,3,340
229,2,2,30,12,6,2,2,1,230
230,2,1,30,13,7,2,3,1,240
231,2,1,34,9,1,1,3,1,280
232,2,2,23,13,9,2,1,2,240
233,2,2,28,unknown,3,1,3,1,270
234,2,1,28,16,12,1,3,1,370
235,2,2,45,14,3,2,1,1,210
236,2,1,67,21,5,1,3,3,530
237,2,1,67,23,8,1,1,3,210
238,2,1,30,14,9,1,1,1,280
239,2,1,68,22,6,1,1,3,180
240,2,2,44,20,12,2,2,1,150
241,2,1,25,11,6,2,3,1,480
274,4,1,41,21,14,1,3,1,310
275,4,1,60,21,8,1,2,3,190
276,4,2,27,11,5,1,3,1,700
277,4,1,61,24,12,1,2,3,190
278,4,2,50,16,4,2,1,1,140
279,4,1,60,26,14,1,2,3,330
280,4,2,62,25,13,1,1,2,470
281,4,1,67,25,11,1,1,3,480
282,4,1,55,19,7,1,3,1,790
283,4,2,33,16,10,1,3,1,220
284,4,1,62,23,10,2,1,3,140
285,4,2,35,10,10,2,3,1,250
287,4,1,33,19,14,1,3,1,620
288,4,1,38,21,15,1,4,1,500
289,4,2,32,13,7,1,3,1,480
290,4,1,50,25,16,1,3,1,370
291,4,2,29,17,13,2,3,1,340
292,4,1,64,24,10,1,2,3,530
293,4,1,27,18,15,2,3,1,390
294,4,2,30,16,11,1,3,1,520
295,4,2,38,19,12,1,3,2,450
296,4,1,65,24,10,1,1,3,180
297,4,1,52,21,11,1,2,1,300
298,4,1,31,15,10,2,3,1,520
299,4,2,28,17,13,2,2,2,370
300,4,1,76,29,13,1,2,3,210
301,2,1,33,10,2,2,3,1,170
302,2,2,30,19,15,2,2,1,500
303,2,2,76,26,9,1,1,2,180
304,2,1,62,22,8,2,1,2,280
305,2,2,30,20,16,2,3,2,580
306,2,2,50,13,1,2,1,2,60
