ID,HPRICE1,HSIZE,HNBATHR,HFLOOR,BUILDY,RILAK,NSCDIS,NPARK,URSUB,D_PMSP,D_PCBD,D_PRAILS
2,11360,80,2,6,2000,0,0,0,1,2364.658901,1291,1536.506
3,9570,108,1,11,2003,0,0,0,1,1726.80759,1357,1670.878
4,10480,108,1,11,2005,0,0,0,1,1739.488738,1366,1679.916
5,11660,108.21,2,10,2006,0,0,0,1,1741.222053,1364,1677.386
6,13390,48.44,1,6,1988,0,1,0,1,834.6295636,637,1367.611
7,13710,84.2,1,4,1988,0,1,0,1,754.9517017,627,1489.35
8,13030,73.6,1,6,1992,0,1,0,1,797.0418538,645,1507.001
12,11130,83,1,4,1994,1,0,0,1,3017.028352,1400,1160.03
13,10320,70,1,4,1996,0,0,0,1,2931.091547,1381,1140.952
16,13750,88,1,3,2005,0,0,0,1,2759.277319,1497,1283.772
23,14670,64,1,1,1988,1,0,1,1,2389.701611,1106,1446.206
27,8240,54,1,2,1992,1,0,0,1,621.6066359,917,1842.754
28,11410,52,1,7,1988,0,0,0,1,815.34448,690,1387.801
29,9860,50,1,5,1990,0,0,0,1,854.8424086,679,1376.87
30,10820,86,1,3,1998,0,0,0,1,845.4513354,673,1370.693
31,8640,40,1,3,1980,0,0,0,1,1002.840709,653,1231.703
32,9950,33,1,2,1990,0,0,0,1,993.9212938,649,1226.871
33,10740,78.24,1,2,1999,0,0,0,1,1008.914328,662,1240.605
34,14230,67.41,1,4,1998,1,0,0,1,2240.6498,1247,1492.024
38,9660,58,1,6,1998,0,0,0,1,2332.488425,1737,1586.67
39,7920,48.5,1,7,1998,0,0,0,1,2360.883721,1755,1604.387
40,9590,50,1,1,1996,0,0,0,1,2362.252523,1046,1394.326
41,11330,86,1,4,1998,0,0,0,1,2479.112872,1372,1221.987
47,10790,137.4,1,7,2008,0,0,0,1,1104.021672,1372,1950.278
48,8160,127.87,1,8,2008,0,0,1,1,1232.912913,1479,2057.145
49,8070,129.63,2,6,2008,0,0,0,1,857.0794336,1030,1767.744
50,7490,91.47,1,1,2009,0,0,1,1,1181.906416,1453,2030.985
52,12320,87.43,1,14,2009,0,0,0,1,1144.243293,1385,1963.221
54,8530,48,1,3,1990,0,0,0,1,811.265885,945,1339.838
55,9700,80,1,6,1990,0,0,0,1,822.990599,961,1355.484
