mode,distance,gender,age,familyincome,carown,ebmotor,orinb_jobmix,desnb_jobmix
1,1.3,1,1,3,1,0,0.525856197,0.525856197
1,1.3,1,1,3,1,0,0.525856197,0.525856197
1,2,1,1,3,1,0,0.525856197,0.427735482
1,2,1,1,3,1,0,0.525856197,0.427735482
1,0.6,0,1,3,0,1,0.540785031,0.58324963
1,1,1,1,3,0,1,0.539288649,0.58324963
1,1,1,1,3,0,1,0.539288649,0.58324963
1,1,0,1,3,0,1,0.539288649,0.847987487
1,1,0,1,3,0,1,0.539288649,0.847987487
1,2.1,0,0,3,0,1,0.525856197,0.582379258
1,2.1,0,0,3,0,1,0.525856197,0.582379258
1,0.5,1,1,3,0,0,0.764348123,0.582379258
1,0.5,1,1,3,0,0,0.764348123,0.582379258
1,3,1,1,3,0,0,0.764348123,0.582379258
1,3,1,1,3,0,0,0.764348123,0.582379258
1,2,1,1,3,0,1,0.556704483,0.847987487
1,1,1,1,3,0,1,0.556704483,0.847987487
1,0.7,0,0,3,1,1,0.525856197,0.525856197
1,0.7,0,0,3,1,1,0.525856197,0.525856197
1,1.1,1,1,3,1,0,0.764348123,0.62363746
1,1.1,1,1,3,1,0,0.764348123,0.62363746
1,1,1,1,3,1,0,0.764348123,0.637014671
1,1,1,1,3,1,0,0.764348123,0.637014671
1,0.3,0,0,3,1,0,0.764348123,0.525856197
1,0.3,0,0,3,1,0,0.764348123,0.525856197
1,6,0,1,3,1,0,0.637014671,0.582379258
1,6,0,1,3,1,0,0.637014671,0.582379258
1,1.5,0,1,3,1,1,0.540785031,0.847987487
1,1.5,0,1,3,1,1,0.540785031,0.847987487
1,2,1,0,3,0,1,0.611938588,0.611938588
1,2,1,0,3,0,1,0.611938588,0.611938588
1,5,1,1,3,0,1,0.637014671,0.539288649
1,1,0,1,3,0,0,0.427735482,0.525856197
1,1,0,1,3,0,0,0.427735482,0.525856197
1,1.5,0,1,3,0,1,0.427735482,0.58324963
1,1.5,0,1,3,0,1,0.427735482,0.58324963
1,2.5,1,1,3,0,0,0.180458229,0.525856197
1,2.5,1,1,3,0,0,0.180458229,0.525856197
1,1.5,0,1,3,1,1,0.180458229,0.427735482
1,1.5,0,1,3,1,1,0.180458229,0.427735482
1,1.5,0,1,3,0,1,0.764348123,0.57769002
1,1.5,0,1,3,0,1,0.764348123,0.57769002
1,0.5,1,1,3,0,0,0.507351752,0.525856197
1,0.5,1,1,3,0,0,0.507351752,0.525856197
1,5,1,1,3,1,1,0.637014671,0.62363746
1,5,1,1,3,1,1,0.637014671,0.62363746
1,1,1,0,3,0,1,0.637014671,0.427735482
1,1,1,0,3,0,1,0.637014671,0.427735482
1,2,0,0,3,0,0,0.427735482,0.57769002
1,2,0,0,3,0,0,0.427735482,0.57769002
1,4,1,1,3,0,0,0.637014671,0.603536094
1,4,1,1,3,0,0,0.637014671,0.603536094
1,6,0,1,3,0,1,0.180458229,0.611938588
1,3,0,0,3,0,1,0.427735482,0.427735482
1,3,0,0,3,0,1,0.427735482,0.427735482
1,3.7,0,1,3,0,0,0.540785031,0.556704483
1,3.7,0,1,3,0,0,0.540785031,0.556704483
1,3.7,0,0,3,1,1,0.540785031,0.556704483
1,3.7,0,0,3,1,1,0.540785031,0.556704483
1,2.5,1,1,3,0,0,0.427735482,0.611938588
1,2.5,1,1,3,0,0,0.427735482,0.611938588
1,3,0,1,3,1,1,0.525856197,0.539288649
1,3,0,1,3,1,1,0.525856197,0.539288649
1,5,1,1,3,0,1,0.466265906,0.764348123
1,5,1,1,3,0,1,0.466265906,0.764348123
1,2,1,1,3,1,0,0.180458229,0.427735482
1,1,0,1,3,1,0,0.525856197,0.611938588
1,2,1,0,3,1,0,0.539288649,0.427735482
1,1.8,1,1,3,1,0,0.540785031,0.427735482
1,1.8,1,1,3,1,0,0.540785031,0.427735482
1,3,0,0,3,0,1,0.556704483,0.651022581
1,3,0,0,3,0,1,0.556704483,0.651022581
1,1.5,1,1,3,0,1,0.847987487,0.427735482
1,1.5,1,1,3,0,1,0.847987487,0.427735482
1,4.2,1,1,3,0,1,0.603536094,0.556704483
1,2,0,0,3,0,0,0.525856197,0.651022581
1,2,0,0,3,0,0,0.525856197,0.651022581
1,3,1,1,3,0,0,0.556704483,0.180458229
1,3,1,1,3,0,0,0.556704483,0.180458229
1,4,0,0,3,1,1,0.847987487,0.539288649
1,4,0,0,3,1,1,0.847987487,0.539288649
1,5,1,1,3,0,0,0.540785031,0.847987487
1,5,1,1,3,0,0,0.540785031,0.847987487
1,1,0,0,3,0,0,0.582379258,0.62363746
1,1,0,0,3,0,0,0.582379258,0.62363746
1,1,0,0,3,1,0,0.540785031,0.180458229
1,3,1,1,3,0,1,0.427735482,0.427735482
1,3,1,1,3,0,1,0.427735482,0.427735482
1,1,1,1,3,0,0,0.603536094,0.651022581
1,3.5,1,1,3,0,1,0.556704483,0.637014671
1,3.5,1,1,3,0,1,0.556704483,0.637014671
1,5,1,1,3,0,1,0.525856197,0.651022581
1,3,0,0,3,1,1,0.525856197,0.556704483
1,3,0,0,3,1,1,0.525856197,0.556704483
1,2,1,0,3,0,1,0.764348123,0.427735482
1,1.3,0,0,3,0,1,0.764348123,0.556704483
1,1.3,0,0,3,0,1,0.764348123,0.556704483
1,10,1,0,3,0,0,0.651022581,0.525856197
1,10,1,0,3,0,0,0.651022581,0.525856197
1,2.5,0,0,3,0,1,0.753215666,0.58324963
1,2.5,0,0,3,0,1,0.753215666,0.58324963
1,10,0,1,3,0,0,0.764348123,0.651022581
1,10,0,1,3,0,0,0.764348123,0.651022581
1,0.5,0,0,3,1,1,0.539288649,0.539288649
1,0.5,0,0,3,1,1,0.539288649,0.539288649
1,8.5,1,0,3,0,0,0.651022581,0.637014671
1,2,1,1,3,1,1,0.556704483,0.539288649
1,2,1,1,3,1,1,0.764348123,0.525856197
1,2,1,1,3,1,1,0.764348123,0.525856197
1,1,0,0,3,0,0,0.764348123,0.62363746
1,1,0,0,3,0,0,0.764348123,0.62363746
1,4,1,1,3,0,1,0.847987487,0.847987487
1,4,1,1,3,0,1,0.847987487,0.847987487
1,2,1,1,3,0,1,0.525856197,0.57769002
1,2,1,1,3,0,1,0.525856197,0.57769002
1,1,1,1,3,0,1,0.637014671,0.62363746
1,1,1,1,3,0,1,0.637014671,0.62363746
1,3,0,1,3,0,1,0.611938588,0.62363746
1,3,0,1,3,0,1,0.611938588,0.62363746
1,1,0,1,3,0,0,0.525856197,0.847987487
1,1,0,1,3,0,0,0.525856197,0.847987487
1,2,0,1,3,1,0,0.427735482,0.764348123
1,2,0,1,3,1,0,0.427735482,0.764348123
1,2,1,1,3,0,0,0.62363746,0.847987487
1,2,1,1,3,0,0,0.62363746,0.847987487
1,2.5,1,1,3,0,0,0.180458229,0.525856197
1,2.5,1,1,3,0,0,0.180458229,0.525856197
1,3.5,1,0,3,0,1,0.764348123,0.539288649
1,3.5,1,0,3,0,1,0.764348123,0.539288649
1,1.5,0,0,3,1,1,0.556704483,0.525856197
1,1.5,0,0,3,1,1,0.556704483,0.525856197
1,1.5,1,0,3,1,1,0.556704483,0.847987487
1,1.5,1,0,3,1,1,0.556704483,0.847987487
1,4,1,0,3,0,0,0.847987487,0.427735482
1,4,1,0,3,0,0,0.847987487,0.427735482
1,2,1,0,3,0,1,0.847987487,0.525856197
1,2,1,0,3,0,1,0.847987487,0.525856197
1,4,0,1,3,0,0,0.556704483,0.611938588
1,4,0,1,3,0,0,0.556704483,0.611938588
1,8,1,1,3,0,0,0.556704483,0.58324963
1,8,1,1,3,0,0,0.556704483,0.58324963
1,3.33,0,1,3,0,1,0.556704483,0.651022581
1,3.33,0,1,3,0,1,0.556704483,0.651022581
1,1,1,1,3,0,1,0.847987487,0.556704483
1,1,1,1,3,0,1,0.847987487,0.556704483
1,3,1,0,3,0,0,0.611938588,0.525856197
1,3,1,0,3,0,0,0.611938588,0.525856197
1,4,0,0,3,0,0,0.611938588,0.603536094
1,4,0,0,3,0,0,0.611938588,0.603536094
1,4,1,1,3,0,1,0.847987487,0.582379258
1,1,0,0,3,0,1,0.525856197,0.62363746
1,4,1,0,3,0,0,0.847987487,0.427735482
1,4,1,0,3,0,0,0.847987487,0.427735482
1,2,1,0,3,0,1,0.847987487,0.525856197
1,2,1,0,3,0,1,0.847987487,0.525856197
1,4,0,1,3,0,0,0.556704483,0.611938588
1,4,0,1,3,0,0,0.556704483,0.611938588
1,8,1,1,3,0,0,0.556704483,0.58324963
1,8,1,1,3,0,0,0.556704483,0.58324963
1,3.33,0,1,3,0,1,0.556704483,0.651022581
1,3.33,0,1,3,0,1,0.556704483,0.651022581
1,1,1,1,3,0,1,0.847987487,0.556704483
1,1,1,1,3,0,1,0.847987487,0.556704483
1,3,1,0,3,0,0,0.611938588,0.525856197
1,3,1,0,3,0,0,0.611938588,0.525856197
1,4,0,0,3,0,0,0.611938588,0.603536094
1,4,0,0,3,0,0,0.611938588,0.603536094
1,4,1,1,3,0,1,0.847987487,0.582379258
1,1,0,0,3,0,1,0.525856197,0.62363746
1,3,0,1,3,0,1,0.611938588,0.62363746
1,3,0,1,3,0,1,0.611938588,0.62363746
1,1,0,1,3,0,0,0.525856197,0.847987487
1,1,0,1,3,0,0,0.525856197,0.847987487
1,2,0,1,3,1,0,0.427735482,0.764348123
1,2,0,1,3,1,0,0.427735482,0.764348123
1,2,0,0,3,0,1,0.556704483,0.539288649
1,2,0,0,3,0,1,0.556704483,0.539288649
1,1,1,0,3,1,0,0.539288649,0.539288649
1,1,1,0,3,1,0,0.539288649,0.539288649
1,3,0,0,3,0,1,0.556704483,0.651022581
1,3,0,0,3,0,1,0.556704483,0.651022581
1,1.5,1,1,3,0,1,0.847987487,0.427735482
1,1.5,1,1,3,0,1,0.847987487,0.427735482
1,4.2,1,1,3,0,1,0.603536094,0.556704483
1,2,0,0,3,0,0,0.525856197,0.651022581
1,2,0,0,3,0,0,0.525856197,0.651022581
1,3,1,1,3,0,0,0.556704483,0.180458229
1,3,1,1,3,0,0,0.556704483,0.180458229
1,4,0,0,3,1,1,0.847987487,0.539288649
1,4,0,0,3,1,1,0.847987487,0.539288649
1,5,1,1,3,0,0,0.540785031,0.847987487
