ID,Month,Region,Accident,Volume,Population
1,31,1,14,550,23
2,30,1,14,550,24
3,25,1,11,300,15
4,36,1,13,400,20
5,22,1,55,3300,137
6,29,1,22,1350,60
7,31,1,12,600,31
8,42,1,95,2600,112
9,37,1,22,1150,55
10,28,1,33,500,30
11,36,1,66,2600,115
12,24,1,30,1650,78
13,23,1,16,900,49
14,36,1,42,2100,98
15,26,1,59,4350,189
16,26,1,16,2500,116
17,28,1,6,900,53
18,31,1,123,5550,240
19,32,1,15,900,55
20,21,1,16,1000,60
21,29,1,14,600,45
22,21,1,14,450,40
23,32,1,13,850,57
24,25,1,30,1400,80
25,30,1,143,2750,135
26,40,1,6,450,44
27,19,1,10,500,47
28,22,1,53,2350,122
29,18,2,42,3800,181
30,32,2,28,1900,106
31,20,2,7,950,69
32,30,2,13,500,52
33,18,2,19,950,71
34,24,2,11,1200,82
35,30,2,74,1550,97
36,35,2,20,700,64
37,27,2,10,550,59
38,20,2,24,3350,172
39,22,2,29,2050,121
40,28,2,4,350,54
41,23,2,6,1100,85
42,40,2,12,650,68
43,33,2,65,2300,135
44,21,2,26,1800,116
45,35,2,39,1900,121
46,25,2,7,350,60
47,26,2,32,1800,119
48,25,2,3,550,70
49,22,2,302,7550,351
50,32,2,13,1100,94
51,25,2,26,2050,133
52,35,2,10,1600,116
53,21,2,70,2800,165
54,41,2,13,1200,102
55,32,2,15,800,87
56,26,2,51,1100,100
57,21,2,6,1250,107
58,36,2,0,650,84
59,37,2,10,600,83
