ID,NAME,GREEN_SPACE,HEAT_ISLAND,GDP,NPP,CO2_EMISSION,,NAME,聚类分析,层次聚类分析
0,玄武区,0.55,0.95,0.11,0.54,0.88,,北京市,3,2
1,秦淮区,0.11,1,0.12,0.66,0.94,,天津市,3,1
2,建邺区,0,0.95,0.11,0.43,0.91,,河北省,1,4
3,鼓楼区,0.04,0.99,0.17,1,0.97,,山西省,2,3
4,浦口区,0.59,0.82,0.04,0.14,0.48,,内蒙古自治区,1,4
5,栖霞区,0.35,0.94,0.16,0.29,0.62,,辽宁省,3,4
6,雨花台区,0.29,0.96,0.09,0.16,0.9,,吉林省,3,4
7,江宁区,0.59,0.8,0.26,0.09,0,,黑龙江省,4,4
8,六合区,0.78,0.82,0.16,0.09,0.45,,上海市,3,2
9,溧水区,0.58,0.88,0.09,0.16,0.76,,江苏省,1,1
10,高淳区,0.41,0.92,0.05,0.34,0.85,,浙江省,2,1
11,金坛区,0.51,0.89,1,0.22,0.67,,安徽省,1,4
12,溧阳市,0.73,0.82,0.11,0.13,0.61,,福建省,3,1
13,淮安区,0.92,0.92,0.06,0.11,0.71,,江西省,3,3
14,淮阴区,0.78,0.89,0.05,0.13,0.69,,山东省,1,4
15,清江浦区,0.5,0.9,0.06,0.45,0.82,,河南省,4,4
16,洪泽区,0.25,0.9,0.03,0.59,0.87,,湖北省,2,4
17,涟水县,0.93,0.93,0.05,0.01,0.73,,湖南省,3,4
18,盱眙县,0.77,0.83,0.04,0.16,0.78,,广东省,2,1
19,金湖县,0.64,0.93,0.03,0.36,0.88,,广西壮族自治区,3,3
20,广陵区,0.53,0.82,0.08,0.27,0.75,,海南省,3,3
21,邗江区,0.53,0.8,0.1,0.29,0.5,,重庆市,3,4
22,江都区,0.85,0.85,0.12,0.12,0.54,,四川省,1,4
23,宝应县,0.91,0.91,0.08,0.14,0.76,,贵州省,3,3
24,仪征市,0.76,0.89,0.08,0.08,0.65,,云南省,2,3
25,高邮市,0.61,0.9,0.08,0.28,0.66,,西藏自治区,3,3
26,京口区,0.41,0.88,0.04,0.35,0.79,,陕西省,3,3
27,润州区,0.39,0.97,0.03,0.34,0.88,,甘肃省,3,3
28,丹徒区,0.59,0.89,0.04,0.2,0.78,,青海省,3,3
29,丹阳市,0.72,0.93,0.12,0.1,0.53,,宁夏回族自治区,3,3
30,扬中市,0.29,0.9,0.05,0.42,0.79,,新疆维吾尔自治区,2,3
31,句容市,0.75,0.88,0.07,0.05,0.67,,,,
32,镜湖区,0.53,0.93,0.06,0.36,0.95,,,,
33,弋江区,0.53,0.96,0.04,0.14,0.9,,,,
34,鸠江区,0.53,0.9,0.05,0.2,0.78,,,,
35,三山区,0.57,0.88,0.01,0.21,0.91,,,,
36,芜湖县,0.72,0.96,0.05,0.1,0.84,,,,
37,繁昌县,0.85,0.88,0.03,0.06,0.83,,,,
38,南陵县,0.94,0.79,0.03,0.05,0.87,,,,
39,无为市,0.81,0.72,0.02,0.14,0.73,,,,
40,花山区,0.38,0.85,0.04,0.33,0.94,,,,
41,雨山区,0.42,0.9,0.02,0.16,0.84,,,,
42,博望区,0.76,0.96,0.01,0.1,0.75,,,,
43,当涂县,0.5,0.87,0.04,0.33,0.6,,,,
44,含山县,0.87,0.91,0.02,0.06,0.86,,,,
45,和县,0.77,0.91,0.02,0.11,0.64,,,,
46,琅琊区,0.58,0.91,0.02,0.2,0.88,,,,
47,南谯区,0.82,0.87,0.02,0.02,0.81,,,,
48,来安县,0.88,0.88,0.03,0.03,0.8,,,,
49,全椒县,0.86,0.82,0.02,0.06,0.83,,,,
50,定远县,0.87,0.84,0.03,0.06,0.85,,,,
51,凤阳县,0.78,0.84,0.04,0.05,0.78,,,,
52,天长市,0.91,0.89,0.05,0.13,0.73,,,,
53,明光市,0.77,0.86,0.02,0.08,0.87,,,,
54,宣州区,0.8,0.47,0.04,0.15,0.75,,,,
55,郎溪县,0.83,0.85,0.01,0.1,0.9,,,,
56,泾县,1,0.39,0.03,0,0.97,,,,
57,绩溪县,0.98,0,0.01,0.01,0.98,,,,
58,旌德县,1,0.49,0,0,1,,,,
59,宁国市,0.99,0.19,0,0.01,0.89,,,,
60,广德市,0.89,0.64,0.03,0.03,0.83,,,,
