ID,HPRICE1,HSIZE,HNBATHR,HFLOOR,BUILDY,D_PMSP,D_PCBD
2,11360,80,2,6,2000,2364.658901,1291
3,9570,108,1,11,2003,1726.80759,1357
4,10480,108,1,11,2005,1739.488738,1366
5,11660,108.21,2,10,2006,1741.222053,1364
6,13390,48.44,1,6,1988,834.6295636,637
7,13710,84.2,1,4,1988,754.9517017,627
8,13030,73.6,1,6,1992,797.0418538,645
12,11130,83,1,4,1994,3017.028352,1400
13,10320,70,1,4,1996,2931.091547,1381
16,13750,88,1,3,2005,2759.277319,1497
23,14670,64,1,1,1988,2389.701611,1106
27,8240,54,1,2,1992,621.6066359,917
28,11410,52,1,7,1988,815.34448,690
29,9860,50,1,5,1990,854.8424086,679
30,10820,86,1,3,1998,845.4513354,673
31,8640,40,1,3,1980,1002.840709,653
32,9950,33,1,2,1990,993.9212938,649
33,10740,78.24,1,2,1999,1008.914328,662
34,14230,67.41,1,4,1998,2240.6498,1247
38,9660,58,1,6,1998,2332.488425,1737
39,7920,48.5,1,7,1998,2360.883721,1755
40,9590,50,1,1,1996,2362.252523,1046
41,11330,86,1,4,1998,2479.112872,1372
47,10790,137.4,1,7,2008,1104.021672,1372
48,8160,127.87,1,8,2008,1232.912913,1479
49,8070,129.63,2,6,2008,857.0794336,1030
50,7490,91.47,1,1,2009,1181.906416,1453
52,12320,87.43,1,14,2009,1144.243293,1385
54,8530,48,1,3,1990,811.265885,945
55,9700,80,1,6,1990,822.990599,961
56,10050,98,1,13,1995,871.8188313,860
57,11520,42,1,3,2003,1894.541418,1712
58,11480,100,1,3,2003,1888.634392,1719
61,10060,141,2,1,2005,1731.256266,1394
66,8820,63,1,2,1996,1701.984771,862
67,11830,126,2,10,2009,1374.02479,1041
70,11690,126.47,2,7,2009,1292.946154,897
72,12020,88.47,1,7,2009,1342.827247,951
77,11330,130,2,17,2006,1263.399244,1180
80,12320,83,1,4,2006,1370.982938,1252
81,11480,121,1,13,2006,1363.94703,1293
83,9810,42,1,8,2010,2338.101449,1530
90,10920,55.3,1,5,2004,982.9144812,775
96,11830,108.31,1,1,2006,2270.80217,1276
97,10830,103,1,3,2004,2806.127954,1514
98,10440,150,2,4,2004,2802.990919,1499
99,9160,105,1,3,2004,2813.028669,1510
102,8200,68.8,1,6,1990,420.2168668,380
104,7600,163,1,15,1999,575.0442012,415
108,12930,136,1,2,2002,1155.582744,709
111,21400,64,1,1,1990,1288.40713,598
112,12270,95.5,1,6,1989,185.4731309,223
113,11230,71,1,4,1990,183.3358836,244
116,9200,66,1,3,1992,331.926376,633
117,10380,62.08,1,5,1999,332.0893027,633
119,8170,69.5,1,6,1990,3096.418965,1164
120,7950,55.37,1,5,1995,3117.656782,1179
121,11980,115,2,7,1991,701.4918753,410
124,11550,148.58,2,2,2004,3205.240581,1285
127,11330,144,2,6,2003,1474.998064,1075
132,7270,40.5,1,4,1980,2884.369579,1487
134,9040,71,1,3,1997,2873.502878,1486
139,11280,100,1,4,2006,1058.556146,969
140,12900,136,1,7,2006,1028.1654,948
141,11070,110,2,1,2002,1091.138349,1012
144,8650,54,1,4,1988,1650.62272,921
147,9140,51.08,1,3,1984,2746.480636,1120
149,7620,81.32,1,6,1990,2724.486907,1106
150,7320,57,1,3,1982,2366.124967,998
151,8790,52,1,3,1985,2362.046966,999
152,8800,51,1,2,1987,2362.723803,1003
153,9590,44,1,5,1985,511.5054718,490
154,9510,61.5,1,4,1992,515.5312453,495
157,12970,37.66,1,3,2009,572.7448159,807
159,13050,76.65,1,2,1986,502.1249238,683
162,10190,73,1,1,1991,532.5548139,684
166,13390,64,1,7,2000,2337.868957,1434
167,12390,89.06,1,28,2000,2327.763564,1441
170,8900,60,1,6,2005,1286.417512,958
172,8470,50,1,2,1990,933.7828535,819
173,9280,44.06,1,1,1990,946.8853636,810
175,15810,131,2,10,2007,663.4371451,642
176,12840,65,1,10,2008,662.6706019,646
179,11300,89,1,16,2010,1128.030163,1619
182,10670,62.1,1,4,1998,886.4053233,883
184,11850,93,1,2,2003,1045.746546,917
186,11530,81,1,5,2004,1039.778771,854
188,9160,63,1,6,1998,1087.13381,873
191,7900,50,1,5,1988,458.031218,833
192,8700,78,1,5,1994,451.9843798,833
193,8610,59,1,5,1988,950.480057,812
195,9040,69,1,4,1996,954.9942566,823
198,8890,76,1,5,1998,770.3033976,854
199,8930,39.6,1,4,1990,573.9861864,966
200,9110,55,1,5,1993,572.6294764,959
201,9350,44,1,1,1996,576.1434632,952
206,11790,81,1,3,2003,916.9612325,846
216,10090,55,1,6,1993,499.7133177,761
217,14210,66.5,1,1,1993,1130.917316,516
218,10640,50,1,1,1995,1125.579036,524
221,10890,148,2,2,2005,2114.016872,1244
222,9820,80.53,1,4,1996,2684.045165,1313
223,10930,106,1,6,1997,2671.684634,1308
224,10840,72,1,4,1998,2679.61752,1316
226,9420,71,1,5,1998,2197.233489,1036
227,9190,78,1,19,1999,2583.378852,1529
228,10050,98,1,20,2000,2566.629669,1532
230,10090,70,1,6,1991,561.2804271,677
233,8760,62,1,5,1995,3219.737916,1438
234,8560,61,1,3,1995,3227.690065,1428
235,8950,79,1,4,1998,3194.166898,1453
238,10620,102,2,5,1994,10448.82095,4372
240,10660,61.64,1,3,1998,1241.331902,621
241,12220,67,1,4,1998,1227.229943,611
242,8070,56,1,7,1990,1670.558494,828
243,9480,67,1,3,1990,1660.246785,817
244,9410,51.14,1,2,1997,1662.096904,829
253,8560,61,1,5,1990,683.4502364,641
254,11250,65,1,2,1995,1283.284006,706
255,11470,50,1,5,1996,1282.074152,703
260,10320,47.5,1,6,1990,227.8352983,343
263,7700,61,1,3,1986,3118.847729,1216
270,12560,102.4,1,12,2006,3273.484971,1359
276,8160,59.6,1,6,1998,782.457124,879
278,9580,40,1,2,1988,437.5931227,725
281,10930,115,1,7,2000,612.0072965,586
282,12040,59.5,1,9,2003,600.7990467,577
284,14580,86,1,2,1985,1139.386315,844
288,10150,55.88,1,4,1994,1027.743476,581
292,13000,97,1,11,1998,1669.380072,788
297,9910,57,1,5,1995,126.8572735,494
299,8140,55,1,6,1992,637.9677156,633
302,10630,113,1,4,2000,1247.239803,684
303,10440,87,1,4,2000,1226.825183,675
304,12540,112,2,5,2003,2081.899844,1320
305,13600,112.48,1,6,2004,2079.139259,1329
306,12780,112.5,2,5,2006,2073.769243,1324
307,7980,62.15,1,1,1988,2966.653696,1030
308,8920,75,1,1,1990,2956.836726,1032
309,7310,67,1,5,1996,2960.207348,1040
311,8520,58,1,4,1989,2145.815401,1002
315,9340,75.18,1,6,1996,2104.389737,1106
316,8980,48.7,1,4,1989,1365.81204,619
318,13070,70.15,1,10,2009,1356.802577,623
319,7630,110,2,6,2009,2043.370532,703
323,10130,76,1,2,2002,608.5519773,618
326,9150,69.3,1,6,1990,506.5882223,638
331,9720,64.16,1,2,2007,2919.141838,1051
333,9190,81.83,1,7,1995,1063.910915,938
334,10970,75.5,1,2,2001,1061.707243,940
335,9580,60,1,3,1990,1286.126924,780
339,13100,57.6,1,7,1990,1703.102254,858
343,13510,126,2,1,2003,1486.111619,583
344,13540,132,2,6,2002,1493.638538,1097
345,12620,143,2,6,2004,1501.452934,1088
346,13230,123,2,10,2005,1473.25761,1097
348,10490,64,1,4,2001,1505.201059,997
350,9280,124,2,5,2002,3326.7263,1344
351,9260,124.21,2,5,2005,3309.296067,1331
352,10060,124,2,5,2006,3320.98833,1336
354,10910,60,1,2,1994,959.6958247,634
358,12100,91.45,1,3,2005,2322.901378,1516
359,10180,77.4,1,4,2000,2542.82771,1583
360,9670,52,1,2,2002,2540.930459,1570
368,10560,92,1,10,1996,1561.424791,572
371,9590,120,1,20,1999,2001.378333,944
372,8070,122,1,20,2000,2007.842541,946
373,8100,122.5,1,26,2000,1999.415423,948
375,9630,158.88,2,5,1999,1961.575952,960
378,11610,106.14,1,27,2009,242.7958898,350
381,8140,101,1,11,1998,1621.565772,547
382,6880,108,1,21,1999,1629.644506,551
384,9740,50,1,11,1996,575.0955153,421
388,7930,160,1,6,2000,457.2547069,402
390,16570,44,1,1,1987,489.4635517,666
391,9650,59.45,1,6,1990,472.6741832,571
392,9480,61,1,6,1992,481.4867312,667
394,12090,95,1,5,2000,1453.759078,952
395,10490,61,1,4,2003,1446.174413,944
402,15300,130,2,7,2006,1228.650308,1013
403,15270,119,2,2,2003,1188.996692,1089
406,12050,138.64,2,7,2002,1867.036962,1129
407,13240,98,2,2,2004,1872.646129,1120
408,12590,139,2,3,2005,1855.57532,1133
409,9920,63,1,5,1998,3660.284446,1236
410,8820,82,1,1,2000,3622.725364,1211
411,10150,87,2,7,2000,3558.189193,1179
412,10780,117,1,19,1995,1361.543305,644
413,11090,113,1,19,1995,1354.229949,641
416,9180,54,1,2,1990,523.2365015,645
419,7480,130,1,7,1999,398.4629381,683
420,8580,50,1,1,1982,2354.081692,1218
421,9320,72,1,6,1992,2337.795267,1226
423,14780,54,1,3,1990,1288.007117,766
424,13270,74,1,3,1992,1274.190749,758
425,15990,85,1,4,1998,1268.148749,758
427,8690,58,1,6,1996,2357.717553,1772
429,11120,154,1,4,1997,3091.299988,1441
430,8670,127,1,2,2000,3089.21654,1444
434,11710,91.45,1,3,2004,2289.630252,1490
435,7550,45.6,1,5,1979,625.7464946,825
436,8670,47,1,2,1982,599.6026546,831
437,12010,78.5,1,6,2000,600.3730206,820
439,11010,53,1,3,1997,1327.926127,744
441,4510,90,1,3,1990,2045.882555,839
442,8840,30.5,1,3,1991,2025.738112,825
444,12680,100,1,5,2000,2201.805571,1078
446,7720,99,1,6,1997,1003.823841,848
454,8520,58,1,4,1998,2337.793865,1001
460,9570,44,1,3,1998,1144.210382,833
462,9760,52,1,2,1998,1143.507788,822
464,10970,118.5,1,6,1998,2517.909115,1232
467,10240,42.4,1,6,2006,1643.517536,987
468,16420,96,1,8,2008,1611.316181,963
469,11720,61,1,10,2009,1621.748407,928
471,12350,92.74,1,4,2003,3156.204097,1426
472,13890,109.91,1,2,2005,3163.792161,1426
474,11710,86,1,2,2003,829.9578541,1008
475,11510,124,2,6,2003,843.3726045,1006
478,10750,168,2,3,2005,3160.301541,1477
481,10490,102.81,1,2,1992,363.0696444,255
482,11490,61,1,10,2006,363.6963527,245
483,12650,55.19,1,28,2009,368.7844872,251
488,10220,79,1,1,1998,480.7992971,738
492,12310,75.9,1,6,1995,455.461526,436
497,8720,74.01,1,7,2000,2492.731364,1545
499,12550,88.61,1,4,2002,1593.567186,1031
500,11610,58,1,11,2003,1600.206153,1032
501,11560,112,2,2,2005,1590.553106,1025
503,16540,85,1,1,1995,727.4148449,751
505,9740,64,1,1,1998,377.6777489,981
506,7790,130,1,7,1998,381.8284314,721
508,12190,129,2,6,2005,2777.832316,930
509,11420,44,1,8,2006,2788.272189,920
511,10100,65,1,1,1995,1958.792277,1287
512,10420,84.18,1,9,2000,1958.38388,1295
513,10730,84.14,1,9,2001,1958.014789,1278
515,11330,81.7,1,4,2003,929.8872453,1103
520,15980,110.8,2,6,2000,1817.652979,817
521,14460,87,2,17,2001,1799.313027,803
524,14460,99,1,1,2004,3354.869632,1275
525,14310,120,2,2,2004,3337.281669,1288
526,9920,70,1,6,1997,999.4880195,938
527,11370,64,1,5,1998,1025.274948,914
531,10690,152,2,3,2000,1730.269532,741
532,12730,84.7,1,3,2002,2147.842664,1264
