ID,walk,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s
345,0.5,3,4,4,4,5,5,5,5,5,5,5,4,5,5,5,1,5,1,1
481,0.5,2,4,4,3,5,5,5,5,5,5,5,5,5,4,3,5,5,3,3
723,0.5,4,4,4,4,5,5,5,4,4,4,4,4,3,2,2,2,4,2,2
715,0.5,4,4,4,4,5,5,5,5,5,5,5,4,4,2,4,4,2,2,2
717,0.5,4,4,4,4,5,5,5,5,5,5,5,4,4,2,4,4,2,2,2
436,0.5,3,4,4,4,3,3,4,4,4,4,5,3,3,3,4,4,4,3,3
640,0.5,3,4,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5
459,0.7,2,3,4,4,5,5,5,5,5,5,5,3,4,5,4,3,4,3,4
18,0.75,4,4,4,4,4,4,4,5,5,5,5,4,4,4,3,3,4,3,4
186,1,4,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4
234,1,4,4,4,5,5,5,5,5,5,5,5,5,4,4,2,4,5,3,3
200,1,4,4,4,4,5,5,5,5,5,5,3,5,4,1,3,4,3,3,3
166,1,3,4,5,4,5,5,5,5,5,4,4,2,2,4,4,4,5,4,4
247,1,3,2,2,2,4,4,4,4,4,4,4,5,5,3,5,3,5,5,5
349,1,3,2,2,2,5,5,5,5,5,4,4,4,2,4,2,1,4,4,3
586,1,2,2,4,4,3,4,3,4,4,4,4,4,2,4,2,3,4,3,3
347,1,4,3,4,3,2,4,4,5,5,4,4,3,3,4,3,3,4,2,2
545,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
696,1,2,3,4,5,5,5,5,5,5,4,5,5,3,5,3,3,2,4,3
553,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
571,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
604,1,3,3,3,3,4,4,4,5,5,5,5,4,4,4,4,4,3,2,2
468,1,1,1,3,3,3,3,2,5,5,5,5,4,4,4,4,3,5,4,4
68,1,2,4,4,4,5,5,5,4,4,4,4,5,5,4,2,2,4,2,2
121,1,2,1,4,4,5,5,5,5,5,5,5,4,4,4,1,4,5,2,2
120,1,4,3,4,3,3,4,4,4,3,3,4,3,4,3,4,4,4,4,3
482,1,4,3,4,3,4,4,4,3,3,4,4,4,4,4,4,5,3,4,4
